s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
0.0000000,-11.9651489,-40.2692833,-0.5309336,0.001417,14.0000,0.0000
0.7029309,-11.3588286,-40.6249341,-0.5300942,0.000971,14.0000,0.0000
1.4057819,-10.7523346,-40.9801305,-0.5295685,0.000525,14.0000,0.0000
2.1085375,-10.1457919,-41.3350552,-0.5293567,0.000078,14.0000,0.0000
2.8111821,-9.5393257,-41.6898905,-0.5294589,-0.000369,14.0000,0.0000
3.5136997,-8.9330610,-42.0448189,-0.5298753,-0.000816,14.0000,0.0000
4.2160749,-8.3271229,-42.4000229,-0.5306061,-0.001264,14.0000,0.0000
4.9182924,-7.7216365,-42.7556851,-0.5316515,-0.001713,14.0000,0.0000
5.6203376,-7.1167268,-43.1119878,-0.5330118,-0.002162,14.0000,0.0000
6.3221965,-6.5125188,-43.4691136,-0.5346874,-0.002612,14.0000,0.0000
7.0238565,-5.9091378,-43.8272450,-0.5366786,-0.003063,14.0000,0.0000
7.7253059,-5.3067086,-44.1865643,-0.5389857,-0.003515,14.0000,0.0000
8.4265345,-4.7053565,-44.5472542,-0.5416093,-0.003968,14.0000,-1.3215
9.1275338,-4.1052065,-44.9094970,-0.5445496,-0.004421,13.9337,-2.5249
9.8282970,-3.5063836,-45.2734754,-0.5478072,-0.004876,13.8061,-2.4988
10.5288196,-2.9090129,-45.6393716,-0.5513824,-0.005331,13.6787,-2.4735
11.2290991,-2.3132194,-46.0073683,-0.5552757,-0.005788,13.5515,-2.4492
11.9291356,-1.7191284,-46.3776479,-0.5594874,-0.006245,13.4244,-2.4258
12.6289321,-1.1268647,-46.7503929,-0.5640179,-0.006703,13.2973,-2.4032
13.3284941,-0.5365535,-47.1257858,-0.5688676,-0.007162,13.1703,-2.3816
14.0278307,0.0516801,-47.5040090,-0.5740366,-0.007621,13.0432,-2.3609
14.7269539,0.6377111,-47.8852451,-0.5795251,-0.008080,12.9161,-2.3410
15.4258795,1.2214144,-48.2696764,-0.5853332,-0.008540,12.7888,-2.3410
16.1246314,1.8027568,-48.6573556,-0.5907264,-0.006739,12.6602,-2.4313
16.8232517,2.3821585,-49.0476941,-0.5947455,-0.004766,12.5253,-2.5262
17.5217773,2.9601788,-49.4399062,-0.5973850,-0.002791,12.3836,-2.6170
18.2202350,3.5373775,-49.8332062,-0.5986442,-0.000815,12.2351,-2.6829
18.9186462,4.1143139,-50.2268084,-0.5985227,0.001163,12.0810,-2.5936
19.6170308,4.6915477,-50.6199269,-0.5970202,0.003140,11.9301,-2.5088
20.3154107,5.2696384,-51.0117759,-0.5941367,0.005117,11.7824,-2.4281
21.0138145,5.8491456,-51.4015699,-0.5898728,0.007093,11.6376,-2.3515
21.7122809,6.4306287,-51.7885229,-0.5842292,0.009066,11.4956,-2.2788
22.4108631,7.0146475,-52.1718493,-0.5772077,0.011035,11.3562,-2.2100
23.1096323,7.6017613,-52.5507632,-0.5688109,0.012997,11.2194,-2.1451
23.8086823,8.1925297,-52.9244790,-0.5590430,0.014947,11.0850,-2.0840
24.5081328,8.7875124,-53.2922108,-0.5479101,0.016882,10.9527,-2.0269
25.2081338,9.3872688,-53.6531730,-0.5354209,0.018796,10.8223,-1.9737
25.9088691,9.9923585,-54.0065797,-0.5215869,0.020682,10.6938,-1.9247
26.6105598,10.6033411,-54.3516452,-0.5064235,0.022530,10.5667,-1.8800
27.3134685,11.2207760,-54.6875838,-0.4899503,0.024332,10.4409,-1.8398
28.0179021,11.8452229,-55.0136096,-0.4721921,0.026075,10.3161,-1.8043
28.7242155,12.4772413,-55.3289370,-0.4531794,0.027747,10.1918,-1.7738
29.4328141,13.1173907,-55.6327801,-0.4329489,0.029336,10.0677,-1.7486
30.1441566,13.7662307,-55.9243533,-0.4115444,0.030825,9.9434,-1.7288
30.8587576,14.4243208,-56.2028707,-0.3890171,0.032201,9.8184,-1.7149
31.5771889,15.0922206,-56.4675467,-0.3654259,0.033448,9.6921,-1.7060
32.3000811,15.7704896,-56.7175954,-0.3408375,0.034552,9.5640,-1.6505
33.0277773,16.4593928,-56.9520183,-0.3148034,0.037259,9.4376,-1.5796
33.7586509,17.1574519,-57.1685585,-0.2863693,0.040622,9.3144,-1.5005
34.4904671,17.8625497,-57.3644977,-0.2552615,0.044477,9.1958,-1.4118
35.2211679,18.5725682,-57.5371169,-0.2211860,0.048887,9.0829,-1.3122
35.9489039,19.2853892,-57.6836970,-0.1838177,0.053918,8.9772,-1.2004
36.6720721,19.9988948,-57.8015193,-0.1428033,0.059629,8.8799,-1.0752
37.3893601,20.7109669,-57.8878646,-0.0977674,0.066066,8.7927,-0.9357
38.0997971,21.4194873,-57.9400141,-0.0483240,0.073246,8.7167,-0.7817
38.8028129,22.1223380,-57.9552487,0.0059045,0.081135,8.6534,-0.6140
39.4983039,22.8174009,-57.9308495,0.0652582,0.089622,8.6040,-0.4357
40.1867050,23.5025579,-57.8640975,0.1299985,0.098486,8.5690,-0.2520
40.8690631,24.1756910,-57.7522738,0.2002549,0.107371,8.5489,-0.1167
41.5471093,24.8346829,-57.5926611,0.2758867,0.113814,8.5397,-0.1170
42.2235708,25.4782117,-57.3841644,0.3496248,0.103861,8.5304,0.1069
42.9018724,26.1072141,-57.1302961,0.4163248,0.092642,8.5389,0.3485
43.5846594,26.7230253,-56.8353817,0.4756018,0.080960,8.5667,0.5927
44.2736761,27.3269808,-56.5037467,0.5273817,0.069400,8.6143,0.8298
44.9698680,27.9204158,-56.1397164,0.5718034,0.058323,8.6811,1.0553
45.6734945,28.5046655,-55.7476162,0.6091297,0.047902,8.7662,1.2680
46.3842430,29.0810652,-55.3317715,0.6396756,0.038178,8.8684,1.4695
47.1013368,29.6509503,-54.8965078,0.6637567,0.029095,8.9864,1.6628
47.8236346,30.2156559,-54.4461504,0.6816540,0.020547,9.1191,1.8520
48.5497217,30.7765174,-53.9850248,0.6935916,0.012393,9.2654,2.0419
49.2779923,31.3348701,-53.5174563,0.6997228,0.004473,9.4245,2.2379
50.0067264,31.8920492,-53.0477704,0.7001225,-0.003379,9.5960,2.2586
50.7341633,32.4493900,-52.5802924,0.6947840,-0.011334,9.7657,2.0215
51.4587234,33.0080137,-52.1188523,0.6863181,-0.010153,9.9145,2.0417
52.1799916,33.5674495,-51.6635948,0.6802889,-0.006549,10.0620,2.1379
52.8980301,34.1265091,-51.2130044,0.6769049,-0.002860,10.2134,2.2428
53.6128769,34.6840008,-50.7655574,0.6762023,0.000912,10.3692,2.2980
54.3245578,35.2387329,-50.3197300,0.6782172,0.004768,10.5257,2.1632
55.0331028,35.7895138,-49.8739988,0.6829858,0.008709,10.6704,2.0187
55.7385613,36.3351517,-49.4268399,0.6905436,0.012734,10.8030,1.8652
56.4410193,36.8744549,-48.9767297,0.7009244,0.016837,10.9236,1.7035
57.1406150,37.4062318,-48.5221446,0.7141588,0.021010,11.0322,1.5346
57.8375568,37.9292906,-48.0615609,0.7302708,0.025236,11.1287,1.3600
58.5321396,38.4424396,-47.5934549,0.7492754,0.029490,11.2133,1.1815
59.2247619,38.9444872,-47.1163030,0.7711733,0.033738,11.2860,1.0013
59.9159433,39.4342417,-46.6285815,0.7959469,0.037933,11.3472,0.8224
60.6063399,39.9105113,-46.1287667,0.8235543,0.042016,11.3971,0.6478
61.2967602,40.3721043,-45.6153351,0.8539241,0.045918,11.4363,0.4813
61.9881785,40.8178291,-45.0867628,0.8869496,0.049555,11.4653,0.3271
62.6817358,41.2465018,-44.5415459,0.9222667,0.051104,11.4851,0.2580
63.3781890,41.6573337,-43.9791722,0.9572883,0.049483,11.5007,0.3165
64.0775119,42.0501111,-43.4005718,0.9913627,0.047984,11.5199,0.3691
64.7795588,42.4246654,-42.8067883,1.0245615,0.046612,11.5424,0.4158
65.4841313,42.7808280,-42.1988650,1.0569589,0.045370,11.5678,0.4567
66.1909838,43.1184302,-41.5778456,1.0886306,0.044262,11.5957,0.4917
66.8998282,43.4373035,-40.9447735,1.1196534,0.043288,11.6257,0.5210
67.6103394,43.7372792,-40.3006922,1.1501045,0.042448,11.6575,0.5445
68.3221592,44.0181888,-39.6466454,1.1800616,0.041742,11.6907,0.5624
69.0349015,44.2798636,-38.9836764,1.2096025,0.041171,11.7249,0.5747
69.7481559,44.5221351,-38.3128288,1.2388052,0.040734,11.7598,0.5814
70.4614923,44.7448346,-37.6351462,1.2677479,0.040433,11.7950,0.5825
71.1744645,44.9477935,-36.9516720,1.2965090,0.040267,11.8302,0.5781
71.8866141,45.1308433,-36.2634497,1.3251675,0.040238,11.8649,0.5680
72.5974746,45.2938153,-35.5715229,1.3538031,0.040349,11.8989,0.5522
73.3065746,45.4365409,-34.8769351,1.3824963,0.040601,11.9318,0.5306
74.0134510,45.5588627,-34.1807228,1.4112093,0.040028,11.9632,0.5449
74.7180965,45.6612110,-33.4835498,1.4385720,0.037608,11.9952,0.6393
75.4211116,45.7448820,-32.7855316,1.4641213,0.035055,12.0327,0.7390
76.1230476,45.8112414,-32.0867394,1.4878030,0.032404,12.0757,0.8429
76.8243569,45.8616549,-31.3872445,1.5095777,0.029682,12.1245,0.9500
77.5253996,45.8974882,-30.6871181,1.5294184,0.026914,12.1793,1.0596
78.2264511,45.9201070,-29.9864316,1.5473083,0.024120,12.2402,1.1712
78.9277092,45.9308770,-29.2852563,1.5632390,0.021314,12.3071,1.2847
79.6293022,45.9311638,-28.5836633,1.5772078,0.018507,12.3801,1.3998
80.3312971,45.9223333,-27.8817240,1.5892165,0.015708,12.4592,1.5166
81.0337072,45.9057510,-27.1795096,1.5992695,0.012919,12.5445,1.6353
81.7365008,45.8827827,-26.4770915,1.6073725,0.010143,12.6357,1.7561
82.4396087,45.8547941,-25.7745408,1.6135312,0.007378,12.7331,1.8797
83.1429327,45.8231509,-25.0719290,1.6177508,0.004622,12.8365,2.0063
83.8463535,45.7892187,-24.3693272,1.6200345,0.001872,12.9460,2.1367
84.5497381,45.7543633,-23.6668067,1.6203841,-0.000878,13.0615,2.1813
85.2529485,45.7199504,-22.9644388,1.6187987,-0.003632,13.1784,2.0315
85.9558491,45.6873456,-22.2622948,1.6152756,-0.006395,13.2864,1.8768
86.6583199,45.6578661,-21.5604428,1.6101733,-0.007348,13.3852,1.8161
87.3603432,45.6320039,-20.8588961,1.6051653,-0.006919,13.4801,1.8299
88.0619760,45.6095609,-20.1576223,1.6004624,-0.006486,13.5750,1.8444
88.7632745,45.5903180,-19.4565878,1.5960660,-0.006051,13.6700,1.8597
89.4642922,45.5740559,-18.7557588,1.5919775,-0.005613,13.7650,1.8758
90.1650795,45.5605556,-18.0551015,1.5881980,-0.005173,13.8602,1.8926
90.8656845,45.5495978,-17.3545822,1.5847285,-0.004731,13.9555,0.8872
91.5661528,45.5409633,-16.6541672,1.5815700,-0.004287,14.0000,0.0000
92.2665278,45.5344330,-15.9538226,1.5787230,-0.003842,14.0000,0.0000
92.9668510,45.5297876,-15.2535148,1.5761882,-0.003396,14.0000,0.0000
93.6671621,45.5268080,-14.5532100,1.5739660,-0.002950,14.0000,0.0000
94.3674994,45.5252750,-13.8528745,1.5720568,-0.002502,14.0000,0.0000
95.0678995,45.5249695,-13.1524744,1.5704607,-0.002055,14.0000,0.0000
95.7683981,45.5256721,-12.4519761,1.5691781,-0.001607,14.0000,0.0000
96.4690299,45.5271638,-11.7513459,1.5682087,-0.001160,14.0000,0.0000
97.1698290,45.5292253,-11.0505499,1.5675527,-0.000713,14.0000,0.0000
97.8708286,45.5316376,-10.3495544,1.5672099,-0.000266,14.0000,0.0000
98.5720619,45.5341813,-9.6483258,1.5671799,0.000180,14.0000,0.0000
