s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
151.6490077,33.4758845,34.2577946,1.8406642,0.123280,8.0237,0.0062
153.6443894,31.6336335,33.4979214,2.0836183,0.124049,8.0252,-0.0097
155.6397711,30.0196158,32.2993363,2.3323616,0.118453,8.0228,0.1003
157.6351528,28.7616585,30.7816468,2.5663513,0.113517,8.0477,0.1817
159.6305345,27.8476481,29.0163032,2.7429848,0.062089,8.0926,1.1702
161.6259161,27.2025163,27.1586437,2.8744457,0.070462,8.3762,0.8984
163.6212978,26.8065505,25.1894157,3.0033641,0.048537,8.5875,1.3036
165.6166795,26.6085444,23.1844127,3.0747617,0.022153,8.8853,-1.5016
167.6120612,26.4798328,21.1797102,3.0596753,-0.039186,8.5414,-0.8526
169.6074429,26.1960860,19.1945184,2.9250643,-0.083959,8.3399,-0.1108
171.6028245,25.5937682,17.3196816,2.7229661,-0.120097,8.3133,-0.1108
173.5982062,24.5896743,15.6006951,2.5163413,-0.080416,8.2866,0.7266
175.5935879,23.3316299,14.0906734,2.3796906,-0.067935,8.4598,0.9208
177.5889696,21.8657376,12.7412865,2.2566229,-0.047091,8.6743,1.3121
179.5843513,20.2605275,11.5218651,2.1943999,-0.016778,8.9710,-1.2085
181.5797329,18.6403404,10.3693792,2.1956222,0.018163,8.6980,-1.5193
183.5751146,17.0490852,9.1490306,2.2656884,0.052108,8.3422,-0.8333
185.5704963,15.6018328,7.7763153,2.4061009,0.088828,8.1405,-0.6950
187.5658780,14.3907239,6.1452224,2.6015438,0.099704,7.9683,-0.1012
189.5612597,13.5636807,4.3461339,2.8330418,0.131559,7.9429,-0.1012
191.5566414,13.1945323,2.4001562,3.0604104,0.087179,7.9174,0.3749
193.5520230,13.2181760,0.4583944,-3.0165281,0.129320,8.0114,-0.1029
195.5474047,13.6954188,-1.4539041,-2.7917046,0.093359,7.9857,0.6045
197.5427864,14.5700428,-3.3043722,-2.6090135,0.086833,8.1353,0.6629
199.5381681,15.7036190,-4.9551809,-2.4880318,0.034861,8.2963,1.6669
201.5335498,16.9559411,-6.5259598,-2.4602425,0.001191,8.6880,-1.0603
203.5289314,18.1906983,-8.0644761,-2.4769552,-0.019009,8.4409,-1.6248
205.5243131,19.3690333,-9.6645727,-2.5471912,-0.050189,8.0477,-1.1048
207.5196948,20.3911575,-11.3849866,-2.6742524,-0.082070,7.7689,-0.0962
209.5150765,21.1076898,-13.2498083,-2.8960269,-0.138397,7.7442,-0.0962
211.5104582,21.3285695,-15.2443226,3.1191618,-0.131196,7.7194,0.0497
213.5058398,21.0240996,-17.1917066,2.8525197,-0.132506,7.7322,0.0179
215.5012215,20.2437712,-18.9960772,2.6246374,-0.105997,7.7368,0.4929
217.4966032,19.0692487,-20.6272766,2.4099869,-0.107269,7.8629,0.4033
219.4919849,17.6056146,-21.9557339,2.2088218,-0.098058,7.9646,0.5247
221.4873666,15.8834767,-22.9884769,2.0161582,-0.088850,8.0950,0.6412
223.4827482,14.0166521,-23.6936778,1.8513551,-0.078180,8.2515,0.7875
225.4781299,12.0553647,-24.1062819,1.7108474,-0.061051,8.4398,1.0759
227.4735116,10.0750861,-24.2746175,1.6036856,-0.051218,8.6904,1.2138
229.4688933,8.0846469,-24.2401605,1.5045084,-0.047564,8.9648,1.2197
231.4642750,6.1105927,-24.0134492,1.4076025,-0.049914,9.2323,1.0818
233.4596566,4.1611055,-23.5903210,1.3056748,-0.052538,9.4632,0.9392
235.4550383,2.2605205,-22.9625663,1.1965095,-0.056645,9.6592,0.7585
237.4504200,0.4514944,-22.1300674,1.0817328,-0.058916,9.8147,0.6361
239.4458017,-1.2530024,-21.0877310,0.9623412,-0.058227,9.9432,0.6075
241.4411834,-2.8221546,-19.8573510,0.8506787,-0.054099,10.0643,0.6870
243.4365651,-4.2555975,-18.4600569,0.7473793,-0.049117,10.1996,0.7941
245.4319467,-5.5419250,-16.9318287,0.6533491,-0.044785,10.3538,0.8820
247.4273284,-6.6808610,-15.3037435,0.5690442,-0.040147,10.5224,0.9835
249.4227101,-7.6952809,-13.5753314,0.4946271,-0.033650,10.7073,1.1541
251.4180918,-8.5823881,-11.7998677,0.4328962,-0.031149,10.9203,1.1899
253.4134735,-9.3602704,-9.9679684,0.3700140,-0.033010,11.1356,1.0682
255.4088551,-10.0104820,-8.0865832,0.2912699,-0.045706,11.3253,0.5285
257.4042368,-10.4893826,-6.1523692,0.1919702,-0.052885,11.4181,0.2142
259.3996185,-10.7624244,-4.1695438,0.0801610,-0.055949,11.4554,0.0781
261.3950002,-10.8162656,-2.1748650,-0.0237374,-0.048579,11.4690,0.3643
263.3903819,-10.6777139,-0.1809548,-0.1111980,-0.037789,11.5323,0.7729
