s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
0.0000000,-13.3100469,-41.1876510,-2.1105789,0.000089,14.0000,0.0000
0.2499002,-13.0956759,-41.3160846,-2.1105560,0.000094,14.0000,0.0000
0.4998004,-12.8813019,-41.4445132,-2.1105320,0.000098,14.0000,0.0000
0.7497005,-12.6669249,-41.5729366,-2.1105069,0.000103,14.0000,0.0000
0.9996007,-12.4525444,-41.7013544,-2.1104807,0.000107,14.0000,0.0000
1.2495009,-12.2381606,-41.8297665,-2.1104535,0.000111,14.0000,0.0000
1.4994011,-12.0237732,-41.9581727,-2.1104251,0.000116,14.0000,0.0000
1.7493013,-11.8093821,-42.0865726,-2.1103955,0.000120,14.0000,0.0000
1.9992015,-11.5949871,-42.2149661,-2.1103649,0.000125,14.0000,0.0000
2.2491016,-11.3805881,-42.3433530,-2.1103332,0.000129,14.0000,0.0000
2.4990018,-11.1661850,-42.4717329,-2.1103004,0.000134,14.0000,0.0000
2.7489020,-10.9517776,-42.6001056,-2.1102665,0.000138,14.0000,0.0000
2.9988022,-10.7373657,-42.7284710,-2.1102314,0.000142,14.0000,0.0000
3.2487024,-10.5229493,-42.8568287,-2.1101953,0.000147,14.0000,0.0000
3.4986025,-10.3085282,-42.9851785,-2.1101580,0.000151,14.0000,0.0000
3.7485027,-10.0941022,-43.1135203,-2.1101197,0.000156,14.0000,0.0000
3.9984029,-9.8796713,-43.2418537,-2.1100802,0.000160,14.0000,0.0000
4.2483031,-9.6652352,-43.3701785,-2.1100396,0.000164,14.0000,0.0000
4.4982033,-9.4507938,-43.4984945,-2.1099980,0.000169,14.0000,0.0000
4.7481034,-9.2363470,-43.6268014,-2.1099552,0.000173,14.0000,0.0000
4.9980036,-9.0218946,-43.7550991,-2.1099113,0.000178,14.0000,0.0000
5.2479038,-8.8074366,-43.8833872,-2.1098663,0.000182,14.0000,0.0000
5.4978040,-8.5929727,-44.0116656,-2.1098202,0.000187,14.0000,0.0000
5.7477042,-8.3785028,-44.1399339,-2.1097730,0.000191,14.0000,0.0000
5.9976044,-8.1640268,-44.2681921,-2.1097247,0.000196,14.0000,0.0000
6.2475045,-7.9495445,-44.3964397,-2.1096753,0.000200,14.0000,0.0000
