s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
123.7944489,58.5857651,16.0785706,0.0920503,0.0061003,17.4097102,5.1105637
125.7911335,58.3943112,18.0629440,0.0983440,0.0001730,17.9862830,5.0978085
127.7878182,58.1993116,20.0504200,0.0966468,-0.0017668,18.5435652,5.0850851
129.7845029,58.0113570,22.0384646,0.0912296,-0.0037175,19.0832500,5.0723935
131.7811875,57.8382660,24.0269626,0.0817314,-0.0058021,19.6067940,5.0597335
133.7778722,57.6884329,26.0184148,0.0676074,-0.0083564,20.1154606,5.0471052
135.7745568,57.5717133,28.0109259,0.0489870,-0.0096126,20.6103545,5.0345083
137.7712415,57.4929312,30.0062476,0.0300170,-0.0093778,21.0924480,5.0219429
139.7679261,57.4509413,32.0014483,0.0124701,-0.0081875,21.5626027,5.0094089
141.7646108,57.4415764,33.9980852,-0.0027201,-0.0070797,22.0215861,4.9969061
143.7612955,57.4604756,35.9956413,-0.0158724,-0.0060908,22.4700856,4.9844345
145.7579801,57.5035882,37.9910328,-0.0269850,-0.0050463,22.9087196,4.9719941
147.7546648,57.5668458,39.9871044,-0.0360341,-0.0040197,23.3380471,4.9595847
149.7513494,57.6461333,41.9826569,-0.0430527,-0.0030112,23.7585752,-9.1711658
151.7480341,57.7374080,43.9773827,-0.0480675,-0.0020130,22.9749003,-11.2643092
153.7447188,57.8367159,45.9720495,-0.0510880,-0.0010028,21.9741552,-11.8169131
155.7414034,57.9399692,47.9656762,-0.0520590,0.0000311,20.8728101,-11.8721337
157.7380881,58.0432466,49.9609079,-0.0510681,0.0009543,19.7044255,-11.5007414
159.7347727,58.1426346,51.9551788,-0.0481534,0.0020834,18.5023695,-11.1412003
161.7314574,58.2336084,53.9487197,-0.0425779,0.0035084,17.2582372,-10.6616405
163.7281421,58.3101581,55.9444973,-0.0332898,0.0058679,15.9771988,-8.7400135
165.7248267,58.3623992,57.9373236,-0.0161610,0.0154183,14.8448234,-5.3961058
167.7215114,58.3513566,59.9351172,0.0333634,0.0338404,14.1003595,-3.9212200
169.7181960,58.2103720,61.9179832,0.1120945,0.0447325,13.5337082,-3.8480035
171.7148807,57.8907966,63.9008635,0.2083677,0.0467308,12.9535616,-3.9922842
173.7115654,57.3902072,65.8342534,0.2973149,0.0436516,12.3228281,-5.3578663
175.7082500,56.7161901,67.7262491,0.3882772,0.0467009,11.4217404,-5.5260696
177.7049347,55.8776105,69.5283150,0.4866146,0.0603539,10.4109806,-2.0168616
179.7016193,54.8232624,71.2125992,0.6452477,0.1001236,10.0167083,-1.2181242
181.6983040,53.4595418,72.6759893,0.8591904,0.1135597,9.7708764,-0.1715108
183.6949887,51.8128343,73.7867186,1.0994566,0.1254177,9.7357649,-0.0590932
185.6916733,49.9477764,74.4566421,1.3533754,0.1269181,9.7236381,-0.0590932
187.6883580,47.9639998,74.6452867,1.5942401,0.1139256,9.7114961,0.2411173
189.6850426,45.9931547,74.3733208,1.8250877,0.1228193,9.7609440,-0.1368801
191.6817273,44.1308793,73.6200595,2.0867637,0.1258566,9.7329037,-0.0590585
193.6784119,42.5380002,72.4385028,2.3315320,0.1269928,9.7207804,-0.0590585
195.6750966,41.2792250,70.8857138,2.5879679,0.1233292,9.7086420,0.3163578
197.6717813,40.4438871,69.1080682,2.8097903,0.1020026,9.7734878,2.1969040
199.6684659,39.9724210,67.1703630,2.9849407,0.0652465,10.2124489,5.1299888
201.6651506,39.7513087,65.1804914,3.0593190,0.0123371,11.1704992,5.2220125
203.6618352,39.5847896,63.1721819,3.0468605,-0.0230897,12.0678696,-0.0933693
205.6585199,39.3237479,61.1781190,2.9649548,-0.0514050,12.0524113,-4.3420337
207.6552046,38.8747320,59.2360980,2.8643903,-0.0496326,11.3102288,-0.0802504
209.6518892,38.2207754,57.3651919,2.7294238,-0.0940394,11.2960526,-0.0795520
211.6485739,37.2501400,55.6470176,2.5256391,-0.0942780,11.2819823,-0.0795520
213.6452585,35.9501112,54.1135123,2.3566701,-0.0766777,11.2678944,2.1852313
215.6419432,34.4570515,52.7972748,2.2434873,-0.0363210,11.6486858,5.2151926
217.6386279,32.8795311,51.5995931,2.2080110,-0.0021674,12.5107182,-2.3748751
219.6353125,31.2711687,50.3917479,2.2304057,0.0245526,12.1257708,-4.6507488
221.6319972,29.7465591,49.1196949,2.3128429,0.0578345,11.3341148,-4.0738153
223.6286818,28.3401293,47.6419874,2.4529972,0.0712722,10.5921627,-2.1296874
225.6253665,27.2022360,46.0268845,2.6104626,0.0958163,10.1827934,-1.2194524
227.6220512,26.3570344,44.1883579,2.8067704,0.0854871,9.9408027,-1.6073643
229.6187358,25.8580050,42.3050201,2.9692108,0.1130985,9.6125313,-0.0576067
231.6154205,25.7745479,40.3367454,-3.0469567,0.1301932,9.6005580,-0.0576067
233.6121051,26.1985011,38.3709418,-2.8216527,0.0992624,9.5885697,2.8162902
235.6087898,26.9876840,36.5533267,-2.6519405,0.0716265,10.1581079,4.5445764
237.6054745,28.0485170,34.8391345,-2.5307770,0.0476090,11.0152316,5.2241654
239.6021591,29.2602021,33.2471264,-2.4586275,0.0254132,11.9246530,-2.7145263
241.5988438,30.5577099,31.7007237,-2.4420077,-0.0134994,11.4611188,-5.8068203
243.5955284,31.7909960,30.1430095,-2.5174873,-0.0578799,10.4004070,-3.9837111
245.5922131,32.8414353,28.4567505,-2.6613286,-0.0875130,9.6052088,-0.9202382
247.5888977,33.5817448,26.6074808,-2.8732979,-0.1256997,9.4119703,-0.1214146
249.5855824,33.8476018,24.6426747,3.1396717,-0.1354552,9.3861777,-0.0549256
251.5822671,33.5756127,22.6734418,2.8675642,-0.1365483,9.3744863,-0.0549256
253.5789517,32.8005185,20.8448605,2.6243977,-0.1051553,9.3627803,2.7271261
255.5756364,31.6566126,19.2290706,2.4263487,-0.1025218,9.9273398,1.8346707
257.5723210,30.1830191,17.8587652,2.2133301,-0.0994118,10.2897324,1.4082424
259.5690057,28.4785507,16.8118768,2.0358353,-0.0814299,10.5594614,2.8506977
261.5656904,26.6222733,16.0571589,1.8820329,-0.0698581,11.0854010,3.3386052
263.5623750,24.6983686,15.5708186,1.7594930,-0.0576797,11.6712638,4.0578319
265.5590597,22.7206437,15.3115567,1.6421826,-0.0595129,12.3459637,2.8336124
267.5557443,20.7305682,15.2867355,1.5250226,-0.0578226,12.7960338,2.4298865
269.5524290,18.7423641,15.4924165,1.4108991,-0.0562248,13.1697348,2.1398625
271.5491137,16.7920479,15.9193574,1.3001226,-0.0548807,13.4902622,1.8986829
273.5457983,14.9014328,16.5565248,1.1918323,-0.0535701,13.7684174,1.7262625
275.5424830,13.0865317,17.3939137,1.0853919,-0.0527135,14.0165232,1.5209644
277.5391676,11.3718721,18.4158757,0.9816819,-0.0513663,14.2315387,1.4698565
279.5358523,9.7688695,19.6096978,0.8802294,-0.0498070,14.4362867,1.4896422
281.5325370,8.2955398,20.9544202,0.7821641,-0.0484896,14.6408697,1.4720472
283.5292216,6.9553745,22.4386853,0.6873617,-0.0464569,14.8402660,1.6309845
285.5259063,5.7590985,24.0406695,0.5961321,-0.0445072,15.0581080,1.7664198
287.5225909,4.7148980,25.7340124,0.5096921,-0.0424516,15.2905390,1.9286705
289.5192756,3.8119955,27.5210389,0.4266522,-0.0404786,15.5403500,2.0733730
291.5159603,3.0596421,29.3677908,0.3476017,-0.0387757,15.8045000,0.7642843
293.5126449,2.4531033,31.2619743,0.2727621,-0.0384225,15.9007638,-0.1952206
295.5093296,1.9960698,33.2034474,0.1866142,-0.0474592,15.8762307,-0.1571420
297.5060142,1.7215315,35.1738890,0.0904694,-0.0477275,15.8564554,-0.1571420
299.5026989,1.6352342,37.1719048,-0.0032860,-0.0446654,15.8366553,0.6411834
301.4993835,1.7265820,39.1686923,-0.0860418,-0.0383529,15.9172904,2.1245606
303.4960682,1.9692123,41.1499029,-0.1549364,-0.0304315,16.1816034,3.8680326
305.4927529,2.3328872,43.1168489,-0.2081118,-0.0224646,16.6520500,5.1266933
307.4894375,2.7834021,45.0617152,-0.2442528,-0.0137681,17.2558266,5.1138978
309.4861222,3.2880221,46.9944833,-0.2640197,-0.0061377,17.8377474,5.1011342
311.4828068,3.8153580,48.9178017,-0.2686402,0.0015252,18.3998898,-7.6159225
313.4794915,4.3374978,50.8451656,-0.2579290,0.0091786,17.5539954,-7.5338295
315.4761762,4.8237438,52.7795638,-0.2321040,0.0166870,16.6750530,-5.9233381
